acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,acc2_x,acc2_y,acc2_z,label,smv
-17,-251,8,47,14,-13,-100,-1000,47,1,251.70220499630113
-21,-247,11,49,14,-13,-105,-1000,45,1,248.13504387732095
-18,-247,8,50,13,-13,-103,-1004,41,1,247.78418028599
-21,-248,13,49,13,-12,-102,-1003,45,1,249.22680433693324
-17,-248,7,48,13,-11,-96,-997,41,1,248.68051793415583
-22,-251,11,48,14,-13,-105,-997,40,1,252.20229975160814
-19,-244,5,47,14,-13,-103,-1000,41,1,244.78970566590417
-20,-246,7,45,14,-14,-96,-996,39,1,246.9109151090733
-17,-250,9,43,14,-13,-102,-996,41,1,250.73890802984687
-18,-247,8,42,14,-11,-101,-995,42,1,247.78418028599
-16,-248,10,41,13,-11,-103,-996,40,1,248.7167063146342
-17,-246,10,41,14,-11,-105,-996,42,1,246.78938388836744
-21,-249,9,42,13,-11,-103,-994,40,1,250.0459957687785
-19,-249,5,44,13,-11,-104,-1003,44,1,249.7738977555501
-20,-250,10,44,15,-11,-104,-1000,49,1,250.99800796022265
-19,-249,11,46,14,-12,-107,-998,45,1,249.9659976876855
-17,-245,8,48,14,-12,-107,-1001,47,1,245.71935210723635
-20,-249,9,51,14,-11,-103,-995,48,1,249.9639974076267
-17,-246,7,53,14,-11,-101,-1000,48,1,246.686035275611
-21,-245,9,54,14,-12,-104,-998,44,1,246.063000062992
-18,-250,12,53,17,-13,-102,-1002,47,1,250.9342543376651
-13,-248,13,53,16,-13,-100,-994,45,1,248.68051793415583
-18,-247,12,56,16,-14,-101,-995,44,1,247.94555854057964
-17,-249,10,55,17,-13,-101,-997,47,1,249.77990311472217
-19,-247,6,54,16,-13,-104,-1000,47,1,247.8023405862019
-17,-248,7,53,16,-13,-102,-998,48,1,248.68051793415583
-19,-246,12,51,15,-12,-102,-992,47,1,247.02429030360557
-18,-248,11,50,15,-11,-99,-998,46,1,248.8955604264568
-20,-244,6,48,15,-10,-101,-995,45,1,244.89181284804113
-18,-246,14,47,15,-10,-99,-992,43,1,247.0546498246896
-19,-245,9,45,15,-11,-100,-988,44,1,245.90038633560542
-21,-246,10,43,15,-11,-97,-991,46,1,247.09714688761585
-17,-249,9,43,14,-10,-101,-996,44,1,249.7418667344344
-16,-249,12,43,13,-10,-101,-994,44,1,249.80192152983932
-18,-248,12,43,14,-10,-104,-998,47,1,248.9417602572939
-23,-246,11,43,14,-10,-101,-997,44,1,247.31760956308793
-17,-249,9,43,15,-10,-100,-995,45,1,249.7418667344344
-18,-244,6,45,14,-10,-105,-997,41,1,244.73659309551564
-19,-246,9,46,14,-9,-102,-1001,40,1,246.89673954914835
-19,-246,7,47,14,-10,-99,-996,39,1,246.83192662214506
-20,-247,9,45,15,-11,-104,-993,47,1,247.9717725871233
-18,-248,12,45,14,-10,-101,-996,43,1,248.9417602572939
-18,-242,10,44,14,-12,-101,-995,45,1,242.87445316459284
-19,-249,8,43,15,-12,-105,-996,46,1,249.85195616604645
-18,-246,12,42,14,-14,-107,-996,44,1,246.94938752708012
-18,-250,10,39,14,-14,-101,-995,45,1,250.84656664981483
-18,-249,11,37,15,-16,-102,-999,45,1,249.89197666191686
-21,-244,7,37,14,-13,-101,-998,48,1,245.00204080782675
-18,-244,14,36,14,-15,-103,-996,45,1,245.06325713986584
-17,-248,6,34,13,-16,-100,-1001,46,1,248.65437860612872
-19,-244,11,33,14,-14,-103,-1000,38,1,244.98571386919687
-19,-248,8,33,14,-13,-105,-1002,41,1,248.85537968868584
-21,-247,8,32,13,-16,-99,-1002,44,1,248.02016047087784
-19,-249,12,34,12,-13,-102,-993,41,1,250.01199971201382
-16,-250,7,34,13,-12,-106,-998,41,1,250.6092576103285
-18,-248,13,35,12,-13,-105,-998,40,1,248.9919677419334
-22,-247,8,37,12,-10,-103,-1002,40,1,248.10683182854922
-20,-251,9,39,12,-11,-104,-1000,40,1,251.95634542515495
