acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,acc2_x,acc2_y,acc2_z,label,smv
2,-249,-77,22,52,-4,-21,-951,-234,0,260.6415162632385
1,-248,-78,18,50,-5,-24,-951,-234,0,259.97884529322766
0,-245,-77,13,49,-8,-24,-954,-240,0,256.81510858981795
-3,-246,-80,8,46,-7,-25,-956,-231,0,258.69866640553056
-1,-248,-75,8,43,-8,-25,-953,-236,0,259.09457732650446
5,-247,-83,6,43,-6,-25,-955,-240,0,260.6204136287102
5,-243,-65,9,40,-7,-21,-951,-228,0,251.59292517874982
-5,-241,-70,10,38,-5,-23,-952,-233,0,251.00995996175132
-1,-249,-86,13,37,-5,-23,-951,-232,0,263.4350014709511
-1,-247,-78,20,36,-5,-21,-951,-231,0,259.02509530931553
0,-245,-79,25,35,-6,-24,-953,-227,0,257.42183279589943
3,-247,-74,27,36,-4,-21,-955,-227,0,257.864305401116
3,-250,-77,28,38,-6,-25,-965,-227,0,261.60657484092405
1,-249,-74,26,35,-5,-24,-957,-224,0,259.7652786651827
2,-249,-76,23,36,-7,-19,-960,-231,0,260.3478442392024
-1,-247,-73,20,38,-6,-22,-954,-224,0,257.5635843825753
1,-249,-76,19,40,-7,-24,-957,-227,0,260.3420826528051
-2,-247,-76,19,41,-8,-19,-958,-226,0,258.43567865138124
1,-248,-74,22,42,-6,-21,-956,-231,0,258.80687780659923
-2,-245,-79,25,42,-7,-21,-951,-230,0,257.4296020274281
3,-248,-74,28,44,-5,-24,-953,-231,0,258.8223328849348
0,-246,-77,28,45,-4,-22,-949,-231,0,257.76927667974707
-1,-246,-77,27,44,-3,-22,-946,-226,0,257.77121639159014
-1,-248,-74,23,43,-3,-21,-951,-233,0,258.80687780659923
0,-242,-74,19,42,-3,-21,-950,-228,0,253.06125740618614
-3,-245,-77,15,44,-3,-18,-940,-229,0,256.8326303256656
2,-245,-76,11,43,-2,-23,-948,-224,0,256.5248525971704
1,-242,-76,7,43,-4,-19,-948,-225,0,253.65527788713564
1,-243,-76,4,43,-4,-18,-945,-224,0,254.60950492862594
2,-244,-77,0,45,-6,-20,-948,-230,0,255.86910716223636
3,-247,-72,-1,47,-8,-20,-951,-227,0,257.2974931863892
2,-246,-79,-3,50,-7,-15,-950,-232,0,258.3815008858026
0,-244,-78,-4,51,-8,-17,-952,-225,0,256.1640099623677
-1,-243,-78,-8,52,-10,-18,-951,-228,0,255.21363599933292
2,-247,-77,-11,53,-9,-16,-958,-239,0,258.73152107928405
4,-251,-75,-14,52,-9,-19,-956,-233,0,261.9961831783051
1,-246,-77,-17,54,-8,-19,-958,-236,0,257.77121639159014
1,-246,-73,-17,53,-10,-16,-955,-231,0,256.60475443763704
-1,-248,-76,-14,53,-6,-20,-957,-233,0,259.38581302762105
2,-248,-77,-11,52,-8,-21,-959,-236,0,259.6863492754288
