acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,acc2_x,acc2_y,acc2_z,label,smv
8,-258,-74,-29,24,-7,-41,-992,-135,1,268.5218799278748
10,-258,-78,-29,23,-7,-44,-992,-137,1,269.7183716397532
10,-258,-72,-29,21,-5,-44,-994,-139,1,268.0447723795411
10,-258,-72,-31,19,-4,-46,-989,-142,1,268.0447723795411
9,-256,-74,-37,18,-4,-47,-984,-140,1,266.6327061708672
6,-258,-82,-43,17,-6,-48,-985,-140,1,270.78404679744335
6,-258,-74,-49,18,-5,-49,-986,-139,1,268.46973758693923
12,-262,-74,-52,19,-5,-48,-984,-136,1,272.5142198124714
22,-258,-74,-55,20,-4,-52,-984,-143,1,269.30280355020443
15,-251,-74,-59,19,-3,-45,-984,-137,1,262.1106636518247
11,-252,-76,-63,19,-4,-47,-982,-138,1,263.4406954135978
9,-264,-69,-68,19,-3,-46,-986,-134,1,273.0164830188829
19,-257,-70,-71,19,-3,-38,-984,-139,1,267.0393229470147
17,-263,-80,-73,20,-2,-39,-989,-131,1,275.42331056030827
24,-261,-71,-73,21,-1,-32,-992,-133,1,271.5474175903722
14,-257,-71,-72,24,1,-31,-990,-132,1,266.99438196336644
13,-258,-74,-75,25,-1,-29,-990,-129,1,268.71732359488846
13,-259,-72,-77,24,1,-31,-993,-128,1,269.1356535281047
14,-259,-73,-78,22,-1,-33,-994,-124,1,269.4550055204022
12,-261,-67,-81,21,-2,-32,-991,-127,1,269.729494123279
11,-261,-73,-82,20,-2,-36,-993,-126,1,271.2397463499773
12,-258,-72,-81,19,-3,-34,-992,-129,1,268.12683565805196
12,-258,-73,-79,17,-5,-41,-993,-123,1,268.3970938739837
13,-261,-69,-80,17,-6,-34,-993,-119,1,270.2794849780501
12,-257,-69,-81,16,-7,-45,-995,-123,1,266.3719204420766
7,-258,-69,-83,16,-6,-47,-991,-118,1,267.1591286106466
7,-257,-69,-85,15,-8,-47,-993,-118,1,266.1935386142947
7,-257,-68,-87,15,-7,-45,-991,-118,1,265.93608254616373
10,-257,-67,-89,16,-6,-41,-991,-115,1,265.7781029355127
10,-258,-66,-90,14,-5,-41,-985,-115,1,266.4957785781981
12,-261,-67,-92,13,-3,-44,-990,-119,1,269.729494123279
11,-257,-73,-92,13,-3,-43,-990,-120,1,267.3929692419006
14,-257,-69,-96,11,-3,-36,-991,-114,1,266.46951045100826
12,-259,-69,-97,10,-1,-37,-994,-109,1,268.30206857197356
12,-259,-67,-99,8,-1,-34,-995,-112,1,267.79469748297856
12,-260,-70,-99,7,-2,-33,-992,-105,1,269.52550899682944
13,-259,-68,-97,7,-2,-34,-996,-107,1,268.0932673529867
11,-260,-64,-94,6,-3,-37,-995,-106,1,267.98693998029086
15,-258,-63,-91,4,-4,-38,-998,-106,1,266.0037593719307
11,-261,-69,-92,1,-5,-37,-997,-99,1,270.1906734141651
12,-259,-65,-95,-1,-7,-42,-996,-109,1,267.30132809247317
10,-260,-64,-95,-4,-7,-45,-998,-113,1,267.9477561018192
7,-261,-70,-98,-5,-7,-45,-1002,-108,1,270.31463149448643
9,-261,-69,-101,-5,-9,-50,-1002,-105,1,270.11664147179084
9,-260,-66,-102,-4,-8,-52,-1003,-109,1,268.3970938739837
11,-262,-67,-102,-4,-9,-52,-1002,-105,1,270.65476164294614
10,-263,-67,-98,-3,-10,-46,-1008,-113,1,271.5842410744777
11,-259,-67,-96,-3,-11,-48,-1003,-108,1,267.7517506945566
10,-261,-66,-91,-5,-11,-50,-1001,-115,1,269.4011878221772
9,-260,-65,-91,-5,-12,-47,-1001,-112,1,268.15294143454776
10,-259,-69,-87,-6,-10,-46,-995,-105,1,268.220058906861
8,-257,-70,-83,-6,-9,-45,-995,-110,1,266.48264483827086
